,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
2604,18,Dua Lipa - Dance The Night,139,1,19,7035,BR,78.0
2616,30,Billie Eilish - What Was I Made For,90,2,10,5425,BR,102.0
2618,32,Miley Cyrus - Flowers,272,1,168,5145,BR,31.0
2619,33,Taylor Swift - Anti-Hero,356,1,50,5108,BR,40.0
2625,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,BR,46.0
2628,42,Harry Styles - As It Was,559,1,177,4017,BR,14.0
2635,49,The Weeknd - Blinding Lights,1354,1,114,3624,BR,11.0
2648,62,Taylor Swift - Lover,412,3,13,2739,BR,106.0
2656,70,SZA - Kill Bill,307,1,3,2487,BR,134.0
2697,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,BR,194.0
2712,126,Ed Sheeran - Perfect,1982,1,2,1446,BR,130.0
2771,185,Chris Brown - Under the Influence,432,2,17,1110,BR,184.0
2784,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,BR,68.0
2786,1,Doja Cat - Paint The Town Red,68,1,45,16920,CH,3.0
2787,2,Tate McRae - greedy,27,2,9,14619,CH,2.0
2788,3,Drake - IDGAF,6,3,1,13364,CH,5.0
2789,4,Drake - First Person Shooter,6,3,2,12624,CH,7.0
2790,5,Drake - Virginia Beach,6,2,2,12359,CH,6.0
2791,6,Olivia Rodrigo - vampire,104,1,22,10868,CH,21.0
2792,7,Taylor Swift - Cruel Summer,245,1,13,10731,CH,30.0
2803,18,Dua Lipa - Dance The Night,139,1,19,7035,CH,15.0
2807,22,Dave & Central Cee - Sprinter,132,2,20,6672,CH,14.0
2815,30,Billie Eilish - What Was I Made For,90,2,10,5425,CH,31.0
2817,32,Miley Cyrus - Flowers,272,1,168,5145,CH,26.0
2818,33,Taylor Swift - Anti-Hero,356,1,50,5108,CH,44.0
2824,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,CH,52.0
2827,42,Harry Styles - As It Was,559,1,177,4017,CH,43.0
2833,48,David Kushner - Daylight,181,2,14,3657,CH,24.0
2834,49,The Weeknd - Blinding Lights,1354,1,114,3624,CH,34.0
2855,70,SZA - Kill Bill,307,1,3,2487,CH,121.0
2869,84,Travis Scott - MELTDOWN,76,1,3,1860,CH,178.0
2872,87,OneRepublic - I Ain't Worried,492,2,27,1833,CH,49.0
2908,123,Nicki Minaj & Ice Spice - Barbie World,110,2,2,1468,CH,137.0
2911,126,Ed Sheeran - Perfect,1982,1,2,1446,CH,106.0
2930,145,Travis Scott - FEN,73,2,2,1301,CH,125.0
2953,168,Glass Animals - Heat Waves,1029,2,13,1177,CH,61.0
2970,185,Chris Brown - Under the Influence,432,2,17,1110,CH,140.0
2983,198,Elton John & Dua Lipa - Cold Heart,787,1,41,1056,CH,122.0
2985,1,Doja Cat - Paint The Town Red,68,1,45,16920,CN,86.0
2991,7,Taylor Swift - Cruel Summer,245,1,13,10731,CN,71.0
3184,1,Doja Cat - Paint The Town Red,68,1,45,16920,CO,193.0
3225,42,Harry Styles - As It Was,559,1,177,4017,CO,186.0
3383,1,Doja Cat - Paint The Town Red,68,1,45,16920,ES,97.0
3384,2,Tate McRae - greedy,27,2,9,14619,ES,74.0
3385,3,Drake - IDGAF,6,3,1,13364,ES,138.0
3386,4,Drake - First Person Shooter,6,3,2,12624,ES,158.0
3387,5,Drake - Virginia Beach,6,2,2,12359,ES,104.0
3388,6,Olivia Rodrigo - vampire,104,1,22,10868,ES,80.0
3389,7,Taylor Swift - Cruel Summer,245,1,13,10731,ES,127.0
3400,18,Dua Lipa - Dance The Night,139,1,19,7035,ES,101.0
3414,32,Miley Cyrus - Flowers,272,1,168,5145,ES,109.0
3424,42,Harry Styles - As It Was,559,1,177,4017,ES,164.0
3582,1,Doja Cat - Paint The Town Red,68,1,45,16920,HK,32.0
3583,2,Tate McRae - greedy,27,2,9,14619,HK,114.0
3587,6,Olivia Rodrigo - vampire,104,1,22,10868,HK,101.0
3588,7,Taylor Swift - Cruel Summer,245,1,13,10731,HK,65.0
3611,30,Billie Eilish - What Was I Made For,90,2,10,5425,HK,196.0
3707,126,Ed Sheeran - Perfect,1982,1,2,1446,HK,182.0
3781,1,Doja Cat - Paint The Town Red,68,1,45,16920,ID,16.0
3782,2,Tate McRae - greedy,27,2,9,14619,ID,15.0
3786,6,Olivia Rodrigo - vampire,104,1,22,10868,ID,25.0
3787,7,Taylor Swift - Cruel Summer,245,1,13,10731,ID,9.0
3810,30,Billie Eilish - What Was I Made For,90,2,10,5425,ID,49.0
3813,33,Taylor Swift - Anti-Hero,356,1,50,5108,ID,58.0
3819,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,ID,101.0
3822,42,Harry Styles - As It Was,559,1,177,4017,ID,65.0
3842,62,Taylor Swift - Lover,412,3,13,2739,ID,39.0
3850,70,SZA - Kill Bill,307,1,3,2487,ID,38.0
3906,126,Ed Sheeran - Perfect,1982,1,2,1446,ID,138.0
3965,185,Chris Brown - Under the Influence,432,2,17,1110,ID,189.0
