,Chart Position,Artist and Title,Position Duration,Peak,(x?),Points,Country,Country Rank
10951,7,Taylor Swift - Cruel Summer,245,1,13,10731,SI,29.0
10962,18,Dua Lipa - Dance The Night,139,1,19,7035,SI,87.0
10966,22,Dave & Central Cee - Sprinter,132,2,20,6672,SI,37.0
11144,1,Doja Cat - Paint The Town Red,68,1,45,16920,SG,5.0
11145,2,Tate McRae - greedy,27,2,9,14619,SG,2.0
11146,3,Drake - IDGAF,6,3,1,13364,SG,54.0
11147,4,Drake - First Person Shooter,6,3,2,12624,SG,49.0
11148,5,Drake - Virginia Beach,6,2,2,12359,SG,61.0
11149,6,Olivia Rodrigo - vampire,104,1,22,10868,SG,7.0
11150,7,Taylor Swift - Cruel Summer,245,1,13,10731,SG,4.0
11161,18,Dua Lipa - Dance The Night,139,1,19,7035,SG,13.0
11173,30,Billie Eilish - What Was I Made For,90,2,10,5425,SG,11.0
11175,32,Miley Cyrus - Flowers,272,1,168,5145,SG,35.0
11176,33,Taylor Swift - Anti-Hero,356,1,50,5108,SG,16.0
11182,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,SG,21.0
11185,42,Harry Styles - As It Was,559,1,177,4017,SG,30.0
11192,49,The Weeknd - Blinding Lights,1354,1,114,3624,SG,47.0
11205,62,Taylor Swift - Lover,412,3,13,2739,SG,28.0
11213,70,SZA - Kill Bill,307,1,3,2487,SG,57.0
11230,87,OneRepublic - I Ain't Worried,492,2,27,1833,SG,44.0
11254,111,Post Malone & Swae Lee - Sunflower,1087,3,19,1544,SG,51.0
11269,126,Ed Sheeran - Perfect,1982,1,2,1446,SG,24.0
11343,1,Doja Cat - Paint The Town Red,68,1,45,16920,SK,1.0
11344,2,Tate McRae - greedy,27,2,9,14619,SK,2.0
11345,3,Drake - IDGAF,6,3,1,13364,SK,6.0
11346,4,Drake - First Person Shooter,6,3,2,12624,SK,16.0
11347,5,Drake - Virginia Beach,6,2,2,12359,SK,15.0
11348,6,Olivia Rodrigo - vampire,104,1,22,10868,SK,38.0
11349,7,Taylor Swift - Cruel Summer,245,1,13,10731,SK,40.0
11360,18,Dua Lipa - Dance The Night,139,1,19,7035,SK,39.0
11364,22,Dave & Central Cee - Sprinter,132,2,20,6672,SK,24.0
11374,32,Miley Cyrus - Flowers,272,1,168,5145,SK,54.0
11381,39,Rema & Selena Gomez - Calm Down,393,2,32,4261,SK,70.0
11390,48,David Kushner - Daylight,181,2,14,3657,SK,62.0
11391,49,The Weeknd - Blinding Lights,1354,1,114,3624,SK,76.0
11426,84,Travis Scott - MELTDOWN,76,1,3,1860,SK,100.0
11487,145,Travis Scott - FEN,73,2,2,1301,SK,49.0
11542,1,Doja Cat - Paint The Town Red,68,1,45,16920,UA,2.0
11543,2,Tate McRae - greedy,27,2,9,14619,UA,1.0
11544,3,Drake - IDGAF,6,3,1,13364,UA,50.0
11573,32,Miley Cyrus - Flowers,272,1,168,5145,UA,70.0
11589,48,David Kushner - Daylight,181,2,14,3657,UA,45.0
11590,49,The Weeknd - Blinding Lights,1354,1,114,3624,UA,97.0
11741,1,Doja Cat - Paint The Town Red,68,1,45,16920,VN,13.0
11742,2,Tate McRae - greedy,27,2,9,14619,VN,27.0
11746,6,Olivia Rodrigo - vampire,104,1,22,10868,VN,52.0
11747,7,Taylor Swift - Cruel Summer,245,1,13,10731,VN,28.0
11770,30,Billie Eilish - What Was I Made For,90,2,10,5425,VN,166.0
11773,33,Taylor Swift - Anti-Hero,356,1,50,5108,VN,146.0
11802,62,Taylor Swift - Lover,412,3,13,2739,VN,116.0
11810,70,SZA - Kill Bill,307,1,3,2487,VN,104.0
