,Chart Position,Position Duration,Peak,(x?),Points,Country Rank
484,49,1354,1,114,3624,29
485,145,73,2,2,1301,70
486,1,68,1,45,16920,15
487,2,27,2,9,14619,11
488,3,6,3,1,13364,1
489,4,6,3,2,12624,2
490,5,6,2,2,12359,3
491,6,104,1,22,10868,65
492,7,245,1,13,10731,109
493,22,132,2,20,6672,66
494,30,90,2,10,5425,102
495,39,393,2,32,4261,73
496,48,181,2,14,3657,169
497,70,307,1,3,2487,106
498,84,76,1,3,1860,47
499,145,73,2,2,1301,44
500,1,68,1,45,16920,8
501,2,27,2,9,14619,5
502,3,6,3,1,13364,3
503,4,6,3,2,12624,13
504,5,6,2,2,12359,15
505,6,104,1,22,10868,40
506,7,245,1,13,10731,36
507,18,139,1,19,7035,29
508,22,132,2,20,6672,32
509,30,90,2,10,5425,66
510,32,272,1,168,5145,82
511,33,356,1,50,5108,85
512,42,559,1,177,4017,97
513,48,181,2,14,3657,94
514,49,1354,1,114,3624,76
515,84,76,1,3,1860,184
516,123,110,2,2,1468,165
517,126,1982,1,2,1446,158
518,145,73,2,2,1301,154
519,1,68,1,45,16920,10
520,2,27,2,9,14619,4
521,3,6,3,1,13364,5
522,4,6,3,2,12624,9
523,5,6,2,2,12359,15
524,6,104,1,22,10868,60
525,7,245,1,13,10731,64
526,18,139,1,19,7035,92
527,22,132,2,20,6672,29
528,1,68,1,45,16920,12
529,2,27,2,9,14619,7
530,3,6,3,1,13364,16
531,4,6,3,2,12624,48
532,5,6,2,2,12359,52
533,6,104,1,22,10868,55
534,7,245,1,13,10731,88
535,18,139,1,19,7035,41
536,22,132,2,20,6672,50
537,32,272,1,168,5145,74
538,48,181,2,14,3657,78
539,1,68,1,45,16920,18
540,2,27,2,9,14619,8
541,3,6,3,1,13364,23
542,4,6,3,2,12624,29
543,5,6,2,2,12359,47
544,6,104,1,22,10868,21
545,22,132,2,20,6672,42
546,1,68,1,45,16920,73
547,3,6,3,1,13364,2
548,4,6,3,2,12624,1
549,5,6,2,2,12359,5
550,22,132,2,20,6672,38
551,84,76,1,3,1860,59
552,145,73,2,2,1301,76
553,185,432,2,17,1110,61
554,1,68,1,45,16920,2
555,2,27,2,9,14619,3
556,3,6,3,1,13364,27
557,4,6,3,2,12624,72
558,1,68,1,45,16920,23
559,2,27,2,9,14619,4
560,3,6,3,1,13364,2
561,4,6,3,2,12624,1
562,5,6,2,2,12359,3
563,6,104,1,22,10868,20
564,7,245,1,13,10731,31
565,18,139,1,19,7035,64
566,22,132,2,20,6672,24
567,30,90,2,10,5425,40
568,32,272,1,168,5145,45
569,39,393,2,32,4261,30
570,42,559,1,177,4017,78
571,48,181,2,14,3657,48
572,49,1354,1,114,3624,55
573,70,307,1,3,2487,42
574,84,76,1,3,1860,60
575,1,68,1,45,16920,4
576,2,27,2,9,14619,1
577,3,6,3,1,13364,2
578,4,6,3,2,12624,9
579,5,6,2,2,12359,27
580,6,104,1,22,10868,13
581,7,245,1,13,10731,12
582,18,139,1,19,7035,24
583,22,132,2,20,6672,26
584,30,90,2,10,5425,43
585,32,272,1,168,5145,41
586,33,356,1,50,5108,84
587,39,393,2,32,4261,62
588,42,559,1,177,4017,30
589,48,181,2,14,3657,35
590,49,1354,1,114,3624,47
591,70,307,1,3,2487,52
592,84,76,1,3,1860,92
593,123,110,2,2,1468,82
594,145,73,2,2,1301,88
595,1,68,1,45,16920,5
