,Entity,Code,Score,GDP
46390,Sierra Leone,SLE,3.1376,461.4
46650,Singapore,SGP,6.5867,"82,807.60"
46982,Slovakia,SVK,6.4686,"21,258.10"
47242,Slovenia,SVN,6.6499,"29,457.40"
48023,South Africa,ZAF,5.2746,"6,776.50"
48575,South Korea,KOR,5.9511,33644.65
49060,Spain,ESP,6.4362,"29,350.20"
49320,Sri Lanka,LKA,4.4416,"3,354.40"
50183,Sweden,SWE,7.3952,"55,873.20"
50443,Switzerland,CHE,7.2401,"92,101.50"
50962,Taiwan,TWN,6.5354,"32,698"
51222,Tajikistan,TJK,5.3298,"1,054.20"
51482,Tanzania,TZA,3.6938,"1,192.40"
51742,Thailand,THA,5.843,"6,908.80"
52002,Togo,TGO,4.1374,918.4
52834,Tunisia,TUN,4.4967,"3,776.70"
53094,Turkey,TUR,4.6135,"10,616.10"
54173,Uganda,UGA,4.4325,964.2
54433,Ukraine,UKR,5.0714,"4,534.00"
54693,United Arab Emirates,ARE,6.5712,"53,757.90"
54953,United Kingdom,GBR,6.7956,"45,850.40"
55213,United States,USA,6.8937,"76,398.60"
55845,Uruguay,URY,6.4939,"20,795.00"
56105,Uzbekistan,UZB,6.0143,"2,255.20"
56816,Venezuela,VEN,5.2106,"15,975.70"
57076,Vietnam,VNM,5.7633,"4,163.50"
58181,Zambia,ZMB,3.9822,"1,487.90"
58442,Zimbabwe,ZWE,3.2035,"1,267.00"
